[21:27:11] [INFO] received Windows console close event; shutting log-core down
[21:30:20] [INFO] received Windows console close event; shutting log-core down
[13:19:09] [INFO] received Windows console close event; shutting log-core down
[13:19:10] [INFO] received Windows console close event; shutting log-core down
[13:19:13] [INFO] received Windows console close event; shutting log-core down
[14:26:45] [INFO] received Windows console close event; shutting log-core down
[15:03:45] [INFO] received Windows console close event; shutting log-core down
[15:37:03] [INFO] received Windows console close event; shutting log-core down
[15:41:10] [INFO] received Windows console close event; shutting log-core down
[16:20:47] [INFO] received Windows console close event; shutting log-core down
[16:38:36] [INFO] received Windows console close event; shutting log-core down
[16:39:08] [INFO] received Windows console close event; shutting log-core down
[16:48:21] [INFO] received Windows console close event; shutting log-core down
[17:27:58] [INFO] received Windows console close event; shutting log-core down
[20:02:47] [INFO] received Windows console close event; shutting log-core down
[20:42:30] [INFO] received Windows console close event; shutting log-core down
[21:02:54] [INFO] received Windows console close event; shutting log-core down
[21:02:54] [INFO] received Windows console close event; shutting log-core down
[21:06:55] [INFO] received Windows console close event; shutting log-core down
[21:08:58] [INFO] received Windows console close event; shutting log-core down
[21:23:12] [INFO] received Windows console close event; shutting log-core down
[21:55:49] [INFO] received Windows console close event; shutting log-core down
[22:39:05] [INFO] received Windows console close event; shutting log-core down
[22:50:20] [INFO] received Windows console close event; shutting log-core down
[23:26:49] [INFO] received Windows console close event; shutting log-core down
[23:26:49] [INFO] received Windows console close event; shutting log-core down
[23:33:26] [INFO] received Windows console close event; shutting log-core down
[00:09:28] [INFO] received Windows console close event; shutting log-core down
[00:12:28] [INFO] received Windows console close event; shutting log-core down
